epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,11828.1,1.20811,0.69922,1.04505,0.87355,0.76964,0.82255,0.5026,1.06328,0.56371,1.00686,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469
31,12211.3,1.19948,0.69923,1.0472,0.8995,0.75952,0.83319,0.51684,1.05336,0.55388,1.00499,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
32,12602.2,1.20548,0.69929,1.04525,0.91312,0.73369,0.81576,0.51224,1.0582,0.55872,1.0083,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282
33,12990.6,1.20258,0.69873,1.043,0.86126,0.74609,0.81549,0.5019,1.05493,0.55041,1.0003,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928
34,13381.7,1.19805,0.69612,1.04508,0.8496,0.7744,0.82106,0.50877,1.05738,0.55394,1.00156,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
35,13767.7,1.19287,0.68918,1.04236,0.87468,0.76986,0.8167,0.50866,1.04461,0.5502,0.9972,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713
36,14157.2,1.19074,0.68503,1.03907,0.87219,0.76999,0.83981,0.5187,1.03783,0.54106,0.99851,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857
37,14547.5,1.18598,0.68455,1.03768,0.86727,0.77782,0.82999,0.50957,1.04734,0.54389,1.00383,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
38,14935.4,1.17701,0.67997,1.03681,0.88931,0.76233,0.82684,0.5202,1.03098,0.53966,0.99768,0.0257599,0.00858664,0.0257599,0.00858664,0.0257599,0.00858664,0.0257599,0.00858664
39,15329.7,1.17807,0.67752,1.03576,0.89845,0.75863,0.83105,0.52421,1.03543,0.53749,0.99577,0.02554,0.00851333,0.02554,0.00851333,0.02554,0.00851333,0.02554,0.00851333
40,15722.6,1.17796,0.67879,1.03454,0.86361,0.79061,0.836,0.52206,1.04039,0.53066,0.99436,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
41,16116.6,1.16995,0.67165,1.02948,0.86924,0.78752,0.83852,0.52797,1.02948,0.52883,0.9923,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622
42,16518.2,1.17129,0.67061,1.0314,0.90013,0.76611,0.84062,0.52846,1.02461,0.53024,0.99292,0.0248533,0.00828443,0.0248533,0.00828443,0.0248533,0.00828443,0.0248533,0.00828443
43,16935.3,1.16767,0.66835,1.0318,0.87173,0.77573,0.83473,0.52686,1.0278,0.52285,0.99299,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
44,17348.3,1.17068,0.6703,1.03187,0.88885,0.77259,0.83601,0.52803,1.03209,0.52579,0.99439,0.024374,0.00812468,0.024374,0.00812468,0.024374,0.00812468,0.024374,0.00812468
45,17763.1,1.16133,0.66846,1.02816,0.88241,0.76791,0.8357,0.52524,1.03557,0.52692,0.99553,0.0241283,0.00804277,0.0241283,0.00804277,0.0241283,0.00804277,0.0241283,0.00804277
46,18177.9,1.15695,0.66205,1.02625,0.89078,0.7718,0.83896,0.52631,1.02597,0.51782,0.99236,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
